Mission,Launch site / base (or coordinates),Destination station,Launch (UTC),Mission duration,Landing site (or coordinates),Rocket type,Source URL
Soyuz 21,Baikonur 1/5,,"6 July 1976, 12:08:45 UTC","49 days, 6 hours and 23 minutes","200 km at the southwest of Kokshetau , Kazakhstan",Soyuz 11A511,https://en.wikipedia.org/wiki/Soyuz%2021
Soyuz 28,Baikonur 1/5,,"2 March 1978, 15:28:10 ( 1978-03-02UTC15:28:10Z ) UTC","7 days, 22 hours and 16 minutes",51°03′N 66°42′E ﻿ / ﻿ 51.05°N 66.7°E ﻿ / 51.05; 66.7 (51.05; 66.7),Soyuz-U,https://en.wikipedia.org/wiki/Soyuz%2028
Soyuz 25,Baikonur 1/5,,"October 9, 1977, 02:40:35 ( 1977-10-09UTC02:40:35Z ) UTC","2 days, 44 minutes, 45 seconds",185 kilometres (115 mi) NW of Tselinograd,Soyuz-U,https://en.wikipedia.org/wiki/Soyuz%2025
Soyuz TM-14/13,,,,,,,
STS-72,"Kennedy , LC-39B",,"11 January 1996, 09:41:00.072 ( 1996-01-11UTC09:41Z ) UTC","8 days, 22 hours, 01 minute, 47 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-72
STS-92,"Kennedy , LC-39A",,"11 October 2000, 23:17:00 ( 2000-10-11UTC23:17Z ) UTC (6:17 pm EST )","12 days, 21 hours, 42 minutes, 42 seconds","Edwards , Runway 22",,https://en.wikipedia.org/wiki/STS-92
STS-23,,,,,,,
STS-103,"Kennedy , LC-39B",,20 December 1999 00:50:00 ( 1999-12-20UTC00:50Z ) UTC,"7 days, 23 hours, 11 minutes, 34 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-103
Soyuz 20,Baikonur 1/5,,"17 November 1975, 14:36:37 UTC","90 days, 11 hours and 47 minutes","56 km at the southwest of Arkalyk , Kazakhstan",Soyuz-U,https://en.wikipedia.org/wiki/Soyuz%2020
Soyuz 26,Baikonur 1/5,,"10 December 1977, 01:18:40 ( 1977-12-10UTC01:18:40Z ) UTC","37 days, 10 hours, 6 minutes, 18 seconds",265 kilometres (165 mi) W of Tselinograd,Soyuz-U,https://en.wikipedia.org/wiki/Soyuz%2026
Antares,,,,,,,https://en.wikipedia.org/wiki/Antares
sts-46,"Kennedy , LC-39B",,"July 31, 1992, 13:56:48 ( 1992-07-31UTC13:56:48Z ) UTC (9:56:48 am EDT )","7 days, 23 hours, 15 minutes, 2 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS%2046
STS-85,"Kennedy , LC-39A",,"7 August 1997, 14:41 ( 1997-08-07UTC14:41Z ) UTC","11 days, 20 hours, 28 minutes, 7 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-85
STS-99,"Kennedy , LC-39A",,"11 February 2000, 17:43 ( 2000-02-11UTC17:43Z ) UTC","11 days, 5 hours, 39 minutes, 41 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-99
STS-115,"Kennedy , LC-39B",,"September 9, 2006, 15:14:55 ( 2006-09-09UTC15:14:55Z ) UTC","11 days, 19 hours, 6 minutes, 35 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-115
STS-84,"Kennedy , LC-39A",,"15 May 1997, 09:07:48.62 ( 1997-05-15UTC09:07:48Z ) UTC","9 days, 4 hours, 19 minutes, 55 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-84
STS-122,"Kennedy , LC-39A",,"February 7, 2008, 19:45 ( 2008-02-07UTC19:45Z ) UTC 2:45:30 pm EDT","12 days, 18 hours, 21 minutes, 50 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-122
STS-109,"Kennedy , LC-39A",,"1 March 2002 11:22:02 ( 2002-03-01UTC11:22:02Z ) UTC, 6:22:02 am EST","10 days, 22 hours, 11 minutes, 09 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-109
STS-83,"Kennedy , LC-39A",,"April 4, 1997, 19:20:32 ( 1997-04-04UTC19:20:32Z ) UTC (14:20:32 EST )","Actual: 3 days, 23 hours, 12 minutes and 39 seconds Planned: 15 days and 16 hours","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-83
STS-94,"Kennedy , LC-39A",,"1 July 1997, 18:02:00 ( 1997-07-01UTC18:02Z ) UTC (2:02 pm EDT )","15 days, 16 hours, 44 minutes and 34 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-94
Soyuz TM-17 / Soyuz TM-16,,,,,,,
STS-90,"Kennedy , LC-39B",,"April 17, 1998, 18:19 ( 1998-04-17UTC18:19Z ) UTC","15 days, 21 hours, 50 minutes, 58 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-90
STS-112,"Kennedy , LC-39B",,"7 October 2002, 19:45:51 ( 2002-10-07UTC19:45:51Z ) UTC","10 days, 19 hours, 58 minutes, 44 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-112
STS-127,"Kennedy , LC-39A",,"July 15, 2009, 22:03 ( 2009-07-15UTC22:03Z ) UTC","15 days, 16 hours, 44 minutes, 58 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-127
Mir EO-15,,,,,,,
Mir EO-21,,Mir,,"193.8 days (Onufrienko, Usachyov) (launch to landing)",,,https://en.wikipedia.org/wiki/Mir%20EO-21
STS 101,"Kennedy , LC-39A",,"19 May 2000, 10:11:10 ( 2000-05-19UTC10:11:10Z ) UTC , 06:11:10 am EDT","9 days, 21 hours, 10 minutes, 10 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS%20101
Soyuz 16,Baikonur 1/5,,"2 December 1974, 09:40:00 UTC","5 days, 22 hours and 23 minutes","30 km (19 mi) of the northeast of Arkalyk , Kazakhstan",Soyuz-U,https://en.wikipedia.org/wiki/Soyuz%2016
STS106,"Kennedy , LC-39B",,"8 September 2000, 12:45:47 ( 2000-09-08UTC12:45:47Z ) UTC","11 days, 19 hours, 12 minutes, 15 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS%20106
Soyuz 32,Baikonur 1/5,,"February 25, 1979, 11:53:49 ( 1979-02-25UTC11:53:49Z ) UTC","Capsule: 108 days, 4 hours and 24 minutes Original crew: 175 days, 35 minutes",170 km (110 mi) SE of Dzhezkazgan,Soyuz-U,https://en.wikipedia.org/wiki/Soyuz%2032
Soyuz 46,,,,,,,
Soyuz TM32/31,,,,,,,
STS-106,"Kennedy , LC-39B",,"8 September 2000, 12:45:47 ( 2000-09-08UTC12:45:47Z ) UTC","11 days, 19 hours, 12 minutes, 15 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-106
STS-100,"Kennedy , LC-39A",,"19 April 2001, 18:40:42 ( 2001-04-19UTC18:40:42Z ) UTC","11 days, 21 hours, 31 minutes, 14 seconds","Edwards , Runway 22",,https://en.wikipedia.org/wiki/STS-100
STS-120,"Kennedy , LC-39A",,"October 23, 2007, 15:38:19 ( 2007-10-23UTC15:38:19Z ) UTC","15 days, 2 hours, 24 minutes","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-120
STS-114,"Kennedy , LC-39B",,"July 26, 2005, 14:39:00 ( 2005-07-26UTC14:39Z ) UTC","13 days, 21 hours, 32 minutes, 48 seconds","Edwards , Runway 22",,https://en.wikipedia.org/wiki/STS-114
STS-125,"Kennedy , LC-39A",,"May 11, 2009, 18:01:56 ( 2009-05-11UTC18:01:56Z ) UTC 2:01:56 pm EST","12 days, 21 hours, 37 minutes, 9 seconds","Edwards , Runway 22",,https://en.wikipedia.org/wiki/STS-125
STS-87,"Kennedy , LC-39B",,"19 November 1997, 19:46 ( 1997-11-19UTC19:46Z ) UTC","15 days, 16 hours, 35 minutes, 01 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-87
Soyuz  3,,,,,,,
STS-104,"Kennedy , LC-39B",,"12 July 2001, 09:04 ( 2001-07-12UTC09:04Z ) UTC","12 days, 18 hours, 36 minutes, 39 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-104
Soyuz 34,Baikonur 31/6,,"June 6, 1979, 18:12:41 ( 1979-06-06UTC18:12:41Z ) UTC","73 days, 18 hours and 16 minutes",170 km (110 mi) SE of Dzhezkazgan,Soyuz-U,https://en.wikipedia.org/wiki/Soyuz%2034
Soyuz 38,Baikonur 1/5,,"September 18, 1980, 19:11:03 ( 1980-09-18UTC19:11:03Z ) UTC","7 days, 20 hours, 43 minutes, 24 seconds",175 km SE of Dzhezkazgan,Soyuz-U,https://en.wikipedia.org/wiki/Soyuz%2038
STS-105,"Kennedy , LC-39A",,"10 August 2001, 21:10:14 ( 2001-08-10UTC21:10:14Z ) UTC","11 days, 21 hours, 13 minutes, 52 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-105
STS-123,"Kennedy , LC-39A",,"March 11, 2008, 06:28:14 ( 2008-03-11UTC06:28:14Z ) UTC","15 days, 18 hours, 12 minutes, 27 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-123
Soyuz TM-24/23,,,,,,,
Soyuz TM-33/32,,,,,,,
Soyuz TM-25/24,,,,,,,
Soyuz 35,Baikonur 31/6,,"April 9, 1980, 13:38:22 ( 1980-04-09UTC13:38:22Z ) UTC","Capsule: 55 days, 1 hour and 28 minutes Original crew: 184 days, 20 hours, 11 minutes",180 km (110 mi) SE of Dzhezkazgan,Soyuz-U,https://en.wikipedia.org/wiki/Soyuz%2035
STS-116,"Kennedy , LC-39B",,"December 10, 2006, 01:47:35 ( 2006-12-10UTC01:47:35Z ) UTC","12 days, 20 hours, 44 minutes, 16 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-116
STS-130,"Kennedy , LC-39A",,"February 8, 2010, 09:14:08 ( 2010-02-08UTC09:14:08Z ) UTC 4:14:08 am EDT","13 days, 18 hours, 6 minutes, 22 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-130
STS-121,"Kennedy , LC-39B",,"July 4, 2006, 18:37:55 ( 2006-07-04UTC18:37:55Z ) UTC","12 days, 18 hours, 37 minutes, 54 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-121
STS-133,"Kennedy , LC-39A",,"February 24, 2011, 21:53:24 ( 2011-02-24UTC21:53:24Z ) UTC","12 days, 19 hours, 4 minutes, 50 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-133
STS-107,"Kennedy , LC-39A",,"January 16, 2003 15:39:00 ( 2003-01-16UTC15:39Z ) UTC","15 days, 22 hours, 20 minutes, 32 seconds","Kennedy, SLF Runway 33 (planned)",,https://en.wikipedia.org/wiki/STS-107
STS87,"Kennedy , LC-39B",,"19 November 1997, 19:46 ( 1997-11-19UTC19:46Z ) UTC","15 days, 16 hours, 35 minutes, 01 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS%2087
STS-117,"Kennedy , LC-39A",,"June 8, 2007, 23:38:04 ( 2007-06-08UTC23:38:04Z ) UTC","13 days, 20 hours, 12 minutes, 44 seconds","Edwards , Runway 22",,https://en.wikipedia.org/wiki/STS-117
Soyuz TM-27/26,,,,,,,
STS-118,"Kennedy , LC-39A",,"August 8, 2007, 22:36:42 ( 2007-08-08UTC22:36:42Z ) UTC","12 days, 17 hours, 55 minutes, 34 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-118
Soyuz 31,Baikonur 1/5,,"26 August 1978, 14:51:30 ( 1978-08-26UTC14:51:30Z ) UTC","Capsule: 67 days, 20 hours and 12 minutes Original crew: 7 days, 20 hours and 49 minutes",140 km (87 mi) SE of Dzhezkazgan,Soyuz-U,https://en.wikipedia.org/wiki/Soyuz%2031
Soyuz 43,,,,,,,
Soyuz TMA-3/2,,,,,,,
STS-128,"Kennedy , LC-39A",,"August 29, 2009, 03:59 ( 2009-08-29UTC03:59Z ) UTC","13 days, 20 hours, 54 minutes, 55 seconds","Edwards , Runway 22",,https://en.wikipedia.org/wiki/STS-128
STS96,"Kennedy , LC-39B",,"27 May 1999, 10:49:42 ( 1999-05-27UTC10:49:42Z ) UTC","9 days, 19 hours, 13 minutes, 57 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS%2096
Soyuz TMA1/TM34,,,,,,,
Soyuz 47,,,,,,,
STS-131,"Kennedy , LC-39A",,"April 5, 2010, 10:21:22 ( 2010-04-05UTC10:21:22Z ) UTC","15 days, 2 hours, 47 minutes, 9 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-131
Soyuz 29,Baikonur 1/5,,"15 June 1978, 20:16:45 ( 1978-06-15UTC20:16:45Z ) UTC","Capsule: 79 days, 15 hours and 23 minutes Original crew: 139 days, 14 hours and 47 minutes",46°42′N 68°42′E ﻿ / ﻿ 46.7°N 68.7°E ﻿ / 46.7; 68.7 (46.7; 68.7),Soyuz-U,https://en.wikipedia.org/wiki/Soyuz%2029
STS-119,"Kennedy , LC-39A",,"March 15, 2009, 23:43 ( 2009-03-15UTC23:43Z ) UTC","12 days, 19 hours, 29 minutes, 33 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-119
STS100,"Kennedy , LC-39A",,"19 April 2001, 18:40:42 ( 2001-04-19UTC18:40:42Z ) UTC","11 days, 21 hours, 31 minutes, 14 seconds","Edwards , Runway 22",,https://en.wikipedia.org/wiki/STS%20100
STS-129,"Kennedy , LC-39A",,"November 16, 2009, 19:28:09 ( 2009-11-16UTC19:28:09Z ) UTC","10 days, 19 hours, 16 minutes, 13 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-129
STS-124,"Kennedy , LC-39A",,"May 31, 2008, 21:02:12 ( 2008-05-31UTC21:02:12Z ) UTC","13 days, 18 hours, 13 minutes 7 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-124
STS-134,"Kennedy , LC-39A",,"May 16, 2011, 12:56:28 ( 2011-05-16UTC12:56:28Z ) UTC","15 days, 17 hours, 38 minutes, 51 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-134
STS-135,"Kennedy , LC-39A",,"July 8, 2011 15:29:04 ( 2011-07-08UTC15:29:04Z ) UTC , 11:29:04 am EDT","12 days, 18 hours, 28 minutes, 50 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-135
Soyuz TMA-34/TM-33,,,,,,,
Soyuz TMA-6/TMA-5,,,,,,,
Soyuz TM-34 / Soyuz TM-33,,,,,,,
Soyuz 50,,,,,,,
STS-132,"Kennedy , LC-39A",,"May 14, 2010, 18:20 ( 2010-05-14UTC18:20Z ) UTC","11 days, 18 hours, 29 minutes, 9 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-132
STS112,"Kennedy , LC-39B",,"7 October 2002, 19:45:51 ( 2002-10-07UTC19:45:51Z ) UTC","10 days, 19 hours, 58 minutes, 44 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS%20112
Soyuz 36,Baikonur 31/6,,"26 May 1980, 18:20:39 ( 1980-05-26UTC18:20:39Z ) UTC","65 days, 20 hours, 54 minutes, 23 seconds",140 kilometres (87 mi) SE of Dzhezkazgan,Soyuz-U,https://en.wikipedia.org/wiki/Soyuz%2036
Soyuz 51,,,,,,,
Soyuz TMA-1/TM-34,,,,,,,
STS-126,"Kennedy , LC-39A",,"15 November 2008, 00:55:39 UTC","15 days, 20 hours, 30 minutes, 30 seconds (achieved)","Edwards , Runway 4L",,https://en.wikipedia.org/wiki/STS-126
Soyuz 30,Baikonur 1/5,,"27 June 1978, 15:27:21 ( 1978-06-27UTC15:27:21Z ) UTC","7 days, 22 hours and 2 minutes",300 km (190 mi) W of Tselinograd,Soyuz-U,https://en.wikipedia.org/wiki/Soyuz%2030
Shenzhou 5,Jiuquan LA-4/SLS-1,,"15 October 2003, 01:00:03 ( 2003-10-15UTC01:00:03Z ) UTC","21 hours, 22 minutes, 45 seconds","15 October 2003, 22:22:48 ( 2003-10-15UTC22:22:49Z ) UTC",Long March 2F,https://en.wikipedia.org/wiki/Shenzhou%205
Soyuz TMA-4/TMA-3,,,,,,,
Soyuz TMA5,,,,,,,
Shenzhou 6,Jiuquan LA-4/SLS-1,,"October 12, 2005, 01:00:05.583 ( 2005-10-12UTC01:00:05Z ) UTC","4 days, 19 hours, 33 minutes","Amugulang pasture, Hongger Township Siziwang Banner , Inner Mongolia",Chang Zheng 2F,https://en.wikipedia.org/wiki/Shenzhou%206
Shenzhou 10,Jiuquan LA-4/SLS,,"11 June 2013, 09:38:02 ( 2013-06-11UTC09:38:02Z ) UTC","14 days, 14 hours, 29 minutes",Inner Mongolia,Long March 2F,https://en.wikipedia.org/wiki/Shenzhou%2010
Soyuz TMA-8,Baikonur 1/5,,"March 30, 2006, 02:30 ( 2006-03-30UTC02:30Z ) UTC",182 days,Kazakhstan,Soyuz-FG,https://en.wikipedia.org/wiki/Soyuz%20TMA-8
Soyuz 37,Baikonur 1/5,,"July 23, 1980, 18:33:03 ( 1980-07-23UTC18:33:03Z ) UTC","79 days, 15 hours, 16 minutes, 54 seconds",180 kilometres (110 mi) SE of Dzhezkazgan,Soyuz-U,https://en.wikipedia.org/wiki/Soyuz%2037
Soyuz 39,Baikonur 1/5,,"22 March 1981, 14:58:55 ( 1981-03-22UTC14:58:55Z ) UTC","7 days, 20 hours, 42 minutes, 3 seconds",175 km SE of Dzhezkazgan,Soyuz-U,https://en.wikipedia.org/wiki/Soyuz%2039
Soyuz TMA-11/10,,,,,,,
Soyuz 52,,,,,,,
Soyuz 45,,,,,,,
Soyuz 44,,,,,,,
Soyuz 57,,,,,,,
Soyuz TMA-12 / Soyuz TMA-11,,,,,,,
Shenzhou 7,Jiuquan LA-4/SLS-1,,"25 September 2008, 13:10:04.988 ( 2008-09-25UTC13:10:04Z ) UTC","2 days, 20 hours, 27 minutes",Siziwang Banner Central Inner Mongolia,Long March 2F,https://en.wikipedia.org/wiki/Shenzhou%207
Shenzhou 9,Jiuquan LA-4/SLS-1,,"16 June 2012, 10:37:24 ( 2012-06-16UTC10:37:24Z ) UTC","12 days, 15 hours and 25 minutes","29 June 2012, 02:01:16 ( 2012-06-29UTC02:01:17Z ) UTC",Long March 2F,https://en.wikipedia.org/wiki/Shenzhou%209
Shenzhou 11,Jiuquan LA-4/SLS,,"16 October 2016, 23:30 UTC","32 days, 6 hours and 29 minutes",Inner Mongolia,Long March 2F,https://en.wikipedia.org/wiki/Shenzhou%2011
Soyuz 49,,,,,,,
Soyuz 53,,,,,,,
Soyuz 55,,,,,,,
Soyuz 33,Baikonur 1/5,,"April 10, 1979, 17:34:34 ( 1979-04-10UTC17:34:34Z ) UTC","1 day, 23 hours and 1 minute",320 km (200 mi) SE of Dzhezkazgan,Soyuz-U,https://en.wikipedia.org/wiki/Soyuz%2033
Soyuz 40,Baikonur 1/5,,"14 May 1981, 17:16:38 ( 1981-05-14UTC17:16:38Z ) UTC","7 days, 20 hours and 41 minutes",225 km SE of Dzhezkazgan,Soyuz-U,https://en.wikipedia.org/wiki/Soyuz%2040
Soyuz TMA-16/14,,,,,,,
Soyuz 41,,,,,,,
Soyuz 42,,,,,,,
Soyuz 60,,,,,,,
Soyuz 61,,,,,,,
Soyuz 54,,,,,,,
Soyuz 48,,,,,,,
Soyuz 56,,,,,,,
Soyuz TMA-18M/16M,,,,,,,
Soyuz 59,,,,,,,
EP-19,,,,,,,
